Serial No.,Category,Poetry
406,Ghazal Shayari,Hud se be hud!
407,Ghazal Shayari,"Meri aik hud hay,"
408,Ghazal Shayari,Aur tum usme be hud ho
409,Ghazal Shayari,Main alif hoon
410,Ghazal Shayari,Aur tum uski med ho!
411,Ghazal Shayari,Daikho to kahin bhi nahi
412,Ghazal Shayari,Sochoon to kuch bhi nahi
413,Ghazal Shayari,Magar…
414,Ghazal Shayari,Jo keh doon!
415,Ghazal Shayari,To tum meray hone ki sanad ho.
416,Ghazal Shayari,Meri aik hud hay!
417,Ghazal Shayari,Aur tum usme be hud ho.
418,Ghazal Shayari,Kabhi laut aa meray charah ger
419,Ghazal Shayari,"Meray rahnuma, meray baakhabar"
420,Ghazal Shayari,Mera lafz lafz hay muztarab
421,Ghazal Shayari,Mera sher sher udaas hay
422,Ghazal Shayari,Meray kaafiyay ko kami teri
423,Ghazal Shayari,Hay radeef ko teri aarzo
424,Ghazal Shayari,Mujhay shaeri ki zubaan main
425,Ghazal Shayari,Teray saath kerni hay guftugu
426,Ghazal Shayari,"Meray chara gar, meray baakhabar"
427,Ghazal Shayari,Meri baat sun abhi laut
428,Ghazal Shayari,Ujaalon main mil hi jayga koi na koi ghalib
429,Ghazal Shayari,Talaash usko kero jo andheron main saath day !!!
430,Ghazal Shayari,Woh shakhs mujhay piyara hay usay kehna
431,Ghazal Shayari,Meray jeenay ka sahara hay usay kehna
432,Ghazal Shayari,loog bohat se piyaray hain mujhko
433,Ghazal Shayari,magar woh sub se piyara hay usay kehna
434,Ghazal Shayari,"Mohabbatain, shikayetain, adawatain uski"
435,Ghazal Shayari,Mujhay sub gawara hay usay kehna
436,Ghazal Shayari,Chahne walay aur bhi hain lekin
437,Ghazal Shayari,Mujhay sirf intizaar tumhara hay usay kehna
438,Ghazal Shayari,Koi Aisa Kamaal Ho Jaye..
439,Ghazal Shayari,Husn Ka Inteqaal Ho Jaye..
440,Ghazal Shayari,Is Tarah Se Na Dekh Tu Mujh Ko..
441,Ghazal Shayari,Mera Jeena Muhaal Ho Jaye..
442,Ghazal Shayari,Sochta Hu Me Jo Har Ek Lamha..
443,Ghazal Shayari,Kaash Tera Khyaal Ho Jaye..
444,Ghazal Shayari,Tere Aane Ki Khabar Sunte Hi..
445,Ghazal Shayari,Shahr-E-Dil Me Dhamaal Ho Jaye..
446,Ghazal Shayari,Dekh Kar Hasna Yun Diwaane Ko..
447,Ghazal Shayari,Shayad Tera Ye Haal Ho Jaye..
448,Ghazal Shayari,Dhundta Me Phiru Jise Sameer..
449,Ghazal Shayari,Koi To Ek Sawaal Ho Jaye..!!!
450,Ghazal Shayari,Submited By: Shaikh Sameer
451,Ghazal Shayari,Nahi howa mujhay naseeb piyar kisi ka
452,Ghazal Shayari,Phir main kiyon keron atibaar kisi ka
453,Ghazal Shayari,Ae waqt tu bhi zara thahar ja
454,Ghazal Shayari,Meri aankhon ko bhi hay intizaar kisi ka
455,Ghazal Shayari,Sari dunya rooth jay koi ghum nahi
456,Ghazal Shayari,Jeetay ji na juda ho dildar kisi ka
457,Ghazal Shayari,Kiya poochtay ho kahani meri mohabbat ki
458,Ghazal Shayari,Chaltay chaltay ker liya tha main ne bhi aetibar kisi ka
459,Ghazal Shayari,Yonhi ranjishon main guzar gai
460,Ghazal Shayari,"Kabhi woh khafa, kabhi main khafa"
461,Ghazal Shayari,Chahtoon ke mor per
462,Ghazal Shayari,"Kabhi woh ruka, kabhi main ruka"
463,Ghazal Shayari,"Wohi raaste, wohi manzilain"
464,Ghazal Shayari,"Na usay khabar, na mujhay pata"
465,Ghazal Shayari,Bus apni apni ana main gum
466,Ghazal Shayari,"Kabhi wo juda, kabhi  main juda…"
467,Ghazal Shayari,"Phir kisi yaad ne, raat bhar hai jagaya mujh ko"
468,Ghazal Shayari,"Kiya saza di hai, mohabat ne khudaya mujh ko"
469,Ghazal Shayari,"Din ko aaram hai na, raat ko hai chain kabhi"
470,Ghazal Shayari,"Jane kis khaak se, qudrat ne banaya mujh ko"
471,Ghazal Shayari,"Dukh to yeh hai ke, zamane main milay ghair sabhi"
472,Ghazal Shayari,"Jo mila hai, woh mila ban ke, paraya mujh ko"
473,Ghazal Shayari,"Jab koi bhi na raha kandha, mere rone ko"
474,Ghazal Shayari,"Ghar ki deewaron ne, seene se lagaya mujh ko"
475,Ghazal Shayari,"Uoon to umeed-e-wafa, tum se nahi hai koi"
476,Ghazal Shayari,"Phir charaghon ki tarah, kis ne jalaya mujh ko"
477,Beautiful Poetry,Us ne husan ki tareef maangi thi mujh se
478,Beautiful Poetry,Main ne usay aaina dikha diya!!
479,Beautiful Poetry,Teray chehre ke naqsh aise hain
480,Beautiful Poetry,"Nazar uthata hoon, bhatak jata hoon"
481,Beautiful Poetry,Mohabbat kay jaal main phansa ker
482,Beautiful Poetry,Pholoun sey mara gya mujhy
483,Beautiful Poetry,Ho na jay husan ki shan main gustakhi kahin
484,Beautiful Poetry,Tum chalay jao ke tumhain daikh ker piyar ata hay
485,Beautiful Poetry,Khuda janay konsi kasar reh gyee usay chahney main
486,Beautiful Poetry,Ke wo jaan hi na paee ke meri jaan hay wo
487,Beautiful Poetry,Zindagi youn bhi kum hai mohabbat ke liye
488,Beautiful Poetry,Youn routh ke waqt ganwane ki zarorat kiya hai
489,Beautiful Poetry,Firdos ki hoorain bhi kiya kamal hon gi Nazir
490,Beautiful Poetry,Per ye dil-e-kafir dunya ki hooron sey bhara kub hey
491,Beautiful Poetry,Le de ke wohi shakhs hai is sheher mein apna
492,Beautiful Poetry,Duniya Kahin usko bhi samajhdaar na kar de
493,Beautiful Poetry,Perwa nahi agr ye zamana khafa rahay
494,Beautiful Poetry,"Momin dua ye maang, khuda maherban rahay"
495,Beautiful Poetry,Guzri howi zindagi ko kabhi yaad na kr
496,Beautiful Poetry,Taqdeer main jo nahi likha uski faryad na kr
497,Beautiful Poetry,Jo ho ga woh ho kr hi rahy ga
498,Beautiful Poetry,To kal ki fiqar main aaj ki hansi burbad na kr
499,Zakhmi Shayari,Bohat nayaab ho gye ho tum…!!!
500,Zakhmi Shayari,Ab zakhmon per namak chirakne nahi aate ho
501,Zakhmi Shayari,Alwida ae gham-e-yaar teri jaan chord di hum ne
502,Zakhmi Shayari,Likh ker aaj khud ko be wafa qalam tor di hum ne
503,Zakhmi Shayari,Badla howa hay aj meray aansuon ka rung
504,Zakhmi Shayari,Kiya dil ke zakham ka koi tanka udhard giya hay
505,Zakhmi Shayari,Ik meri he yaad se perhaiz hay tumko
506,Zakhmi Shayari,Na janey kis hakeem se dawa letay ho
507,Zakhmi Shayari,Hans hans ke wo kertay hain meray piyar ki toheen
508,Zakhmi Shayari,Main kehta hoon mer jaoon ga wo kehtey hain ameen!!
509,Zakhmi Shayari,Naseeb achchay na hon to khobsorti ka kiya faida
510,Zakhmi Shayari,Dilon kay shahanshah aksar faqeer howa kartay hain
511,Zakhmi Shayari,Mera zarf samjho ya meri zaat ka perda
512,Zakhmi Shayari,Jub se tota hoon khamoosh rehta hoon
513,Zakhmi Shayari,Jurdtay howey dekha nahi tootay howay dil ko
514,Zakhmi Shayari,Gir jaen jo aanso tu uthaey nahi jatey
515,Zakhmi Shayari,Patton ki tarah mujh ko bikhairta tha zamana
516,Zakhmi Shayari,Ik shakhs ney yekja kiya or aag laga di
517,Zakhmi Shayari,Ab tu awaz bhi do ge tu nahin aaen ge
518,Zakhmi Shayari,Totney walay qiyamat ki anaa rakhtey hein
519,Urdu Judai Poetry,Bohat sooch ker soocha hay kinarah ker liya jay
520,Urdu Judai Poetry,Faqaq teri yadoon per guzara ker liya jay
521,Urdu Judai Poetry,Aik woh bhi waqt that jub ajnabi thay dono
522,Urdu Judai Poetry,Wohi haal ab ke phir dobara ker liya jay
523,Urdu Judai Poetry,Tujhay kiya lagta hay mujhay teri yaad nahi aati
524,Urdu Judai Poetry,Pagal koi apni barbaadi ko bhi bhool sakta hay
525,Urdu Judai Poetry,Dhaaga bhi darakht per baandh ker daikha
526,Urdu Judai Poetry,Sookh giya darakht magar woh mera na hosaka
527,Urdu Judai Poetry,Tum ne apni aadat laga ker choord diya akaila mujhay aur
528,Urdu Judai Poetry,Main teri aadat ka qaidi raat bhar soo nahi sakta
529,Urdu Judai Poetry,Zid pe ajaoon to mur ker bhi na daikhon!
530,Urdu Judai Poetry,Tum ne daikha hi nahi mera pathar hona
531,Urdu Judai Poetry,Kis qadar azziyyat hay zara soocho tu
532,Urdu Judai Poetry,Jis ne milna hi nahi uski tammanna kerna
533,Urdu Judai Poetry,Ab is ke baad koi raabta na hoga
534,Urdu Judai Poetry,Ye baat taeh hay magar sawaal dard ka hay!
535,Urdu Judai Poetry,Abhi umeed baaqi hay ke bicharda howa ik shakhs
536,Urdu Judai Poetry,Kisi bhi moor pe aaker mujhay hairaan kerdayga!
537,Urdu Judai Poetry,Kisi ke pass hay woh saray ka sara
538,Urdu Judai Poetry,Meray pass bus aik tasweer hay uski!
539,Urdu Judai Poetry,Roh main shamil hay faqat nus nus main nahi
540,Urdu Judai Poetry,Woh ik shakhs jo meri – dastaras main nahi!
541,Sad Girl Poetry,Hum itne bhi nahi badlay ke bhool jain apnon ko
542,Sad Girl Poetry,Magar jub koi muntazir hi na ho to raabte achay nahi lagtay
543,Sad Girl Poetry,Is qadar boojh hay neendon ka meri aankhon per
544,Sad Girl Poetry,Main ne thak haar ker sona nahi mer jana hay!
545,Sad Girl Poetry,Mujhay choord ker woh jis shakhs ke paas gaya hay
546,Sad Girl Poetry,Meri barabari ka hota to bhi dil ko sabar aa jata!
547,Sad Girl Poetry,Woh itna qareeb ho giya tha
548,Sad Girl Poetry,Mujhay laga mera ho giya tha!
549,Sad Girl Poetry,Kisi ke haath bikne ko tayyar nahi
550,Sad Girl Poetry,Ye mera dil hay koi misar ka bazaar nahi
551,Sad Girl Poetry,Tum jang nahi thay ke jeet laitay tujhay
552,Sad Girl Poetry,Hum tujhay haaray hain be intiha mohabbat kerke
553,Sad Girl Poetry,Pehna ker loog libaas aitibaar-o-mohabbat ka
554,Sad Girl Poetry,Phir gharz-o-munafqat se daagdaar kertay hain
555,Sad Girl Poetry,Milne ka waada to unke mun se nikal gaya
556,Sad Girl Poetry,Poochi jaga to kaha khuwaboon main ajana
557,Sad Girl Poetry,Koi to ho jo ghabraie meri khamooshi se
558,Sad Girl Poetry,Kisi ko to samajh aye meray lehjay ka dukh
559,Sad Girl Poetry,Aisa haqeeqaton se tasadum howa ke phir
560,Sad Girl Poetry,Main to bach gye magar meray khuwaab mur gye!
561,Chahat Shayari,Aao kuch dair meri chahat ki chaoon main araam kerlo
562,Chahat Shayari,Thuk gye hogay na mujh se nafrat kerte kerte??
563,Chahat Shayari,Mujhay chahte hoon gay aur bhi bohat loog
564,Chahat Shayari,Magar mujhay mohabbat apni mohabbat se hay
565,Chahat Shayari,Humare baad nahi ayee ga usay chahat ka aisa maza
566,Chahat Shayari,Woh ooroon se khud kehta phiray ga mujhay chaho uski tarah
567,Chahat Shayari,"Chahat, fikar, ehtiram, saadgi aur wafa"
568,Chahat Shayari,Meri inhi aadaton ne mera tamasha bana diya
569,Chahat Shayari,Koi thukra de chahat ko tu huns ker seh lena
570,Chahat Shayari,Mohabbat ki tabbiyat main zabardasti nahi hoti
571,Chahat Shayari,Hum ne aik umar ganwadi tumhari chahat main
572,Chahat Shayari,Kitne khush hongay tujhay muft main panay walay
573,Chahat Shayari,Aik jhalak daikhna he ab kafi nahi
574,Chahat Shayari,"Tu mujhey rubaru, hobahu, jabaja chahyeah"
575,Chahat Shayari,Itna tu kisi ne chaha bhi na hoga
576,Chahat Shayari,Jitna main ne sirf soocha hay tujhey
577,Chahat Shayari,Hum tu muhabbat ke naam se bhi anjaan thay
578,Chahat Shayari,Aik shakhs ki chahat ne humain paagal bana diya
579,Chahat Shayari,Itni dilkash thi kahan ye zindagi
580,Chahat Shayari,Hum ne jub tuk aap ko chaha na tha
581,Bebas Shayari,Rezha rezha ker ke bikher deti hai
582,Bebas Shayari,Be perwah logon se be panah mohabbat
583,Bebas Shayari,Mat poch ke kis tarha chal rahi hai zindagi
584,Bebas Shayari,Us dore se guzer rahe hain jo guzarta hi nahin
585,Bebas Shayari,Be wafai to sabhi karte hain
586,Bebas Shayari,Tum to samjhdar thy kuch naya karte
587,Bebas Shayari,Naseeb walon ko hoti hai wafa naseeb
588,Bebas Shayari,Hum khud hi bad naseeb to mohabbat ka kiya kasoor
589,Bebas Shayari,Alwida ae gham-e-yaar teri jaan chord di hum ne
590,Bebas Shayari,Likh ker aaj khud ko be wafa qalam tor di hum ne
591,Bebas Shayari,Dil main rah ker dil dukahte ho
592,Bebas Shayari,Apna muqaam dekho aur apne kaam dekho
593,Bebas Shayari,Gilay kagaz ki tarha tahri zindagi apni
594,Bebas Shayari,Koi likhta bhi nahi koi jalata bhi nahi
595,Bebas Shayari,Jahan se tera je chahy mrei kutb-e-zindagi parth le
596,Bebas Shayari,Safa chahy koi bhi khule naam tere hi likha hoga
597,Bebas Shayari,Mana ke hum hain ujray howe shaher ki misaal
598,Bebas Shayari,Ankhain bta rahi hain ke weran tum bhi ho
599,Bebas Shayari,"Meray bus main agar hota, hata ker chaand taroon ko"
600,Bebas Shayari,Main saray aasman per bus tera naam likh daita
601,Dukhi Shayari,Meri zindagi bhi is qabristaan ki tarah hay
602,Dukhi Shayari,Jahan loog tu bohat hain magar apna koi nahi
603,Dukhi Shayari,Phir kahin bhi panah nahi milti
604,Dukhi Shayari,Mohabbat jub be panah ho jaay
605,Dukhi Shayari,Aa daikh meri aankh ke bheegay howe mausam
606,Dukhi Shayari,Ye kis ne keh diya ke tujhay bhool gyee hum!
607,Dukhi Shayari,Shaam hotay hi charaagon ko bujha daita hoon
608,Dukhi Shayari,Dil hi kaafi hay teri yaad main jalne ke liyay
609,Dukhi Shayari,Tumhara dabdaba loogon yahan sirf zindagi tuk hay
610,Dukhi Shayari,Kisi ki qabar ke andar zameendaari nahi chalti!
611,Dukhi Shayari,"Mana ke raat bohat ho chuki, sonay ka waqt hy"
612,Dukhi Shayari,Per kiya keroon qalam se utarne ko khialaat baaqi hain
613,Dukhi Shayari,Is se humara no phir kabhi rabta hoga
614,Dukhi Shayari,Gr hoga to beech zameen-o-aasman ka faasla hoga
615,Dukhi Shayari,Sabar kerne pe aoon to mur ker bhi na daikhon
616,Dukhi Shayari,Tum ne daikha hi nahi abhi mera pathar hona!
617,Dukhi Shayari,Ye jo doobi hain meri aankhain ashkon ke darya main
618,Dukhi Shayari,Ye matti ke insaano per bharosay ki saza hay
619,Dukhi Shayari,Tujhse Moo Kis Tarah Modta..
620,Dukhi Shayari,Pyaar Tera Meri Aur Tha..
621,Dukhi Shayari,Gair Samjha Mujhe Umr Bhar..
622,Dukhi Shayari,Uska Bhi Ek Ajab Daur Tha..
623,Dukhi Shayari,Tujh Ko De Kar Ke Khushiya Sabhi..
624,Dukhi Shayari,Gham Ki Chadar Ko Me Audta..
625,Dukhi Shayari,Ho Na Jaye Kahi Be-Rukhi..
626,Dukhi Shayari,Kis Tarah Me Zuba Kholta..
627,Dukhi Shayari,Teri Yaade Hai Is Shahr Me..
628,Dukhi Shayari,Ye Shahr Kaise Me Chodta..
629,Dukhi Shayari,Dekha Sameer Ne Raat Bhar..
630,Dukhi Shayari,Wo Meri Basti Ka Chor Tha..
631,Dukhi Shayari,Submitted By: Shaikh Sameer
632,Bewafa Shayari,Kero agaaz ulfat ka kisi aur se tu itna sooch laina
633,Bewafa Shayari,Teri mohabbat main shaamil meray ishq ki shahadat hogi
634,Bewafa Shayari,Main poori tawaja ka talabgar hoon tujh se
635,Bewafa Shayari,Auron se taluq hay tu phir door raha kero…
636,Bewafa Shayari,Ghairon ko bhi kertay ho mohabbat se isharay
637,Bewafa Shayari,Kiya itni kafi nahi…..toheen humari
638,Bewafa Shayari,Kitaab-e-ishq likhne ki mujhay fursat nahi sahab
639,Bewafa Shayari,Abhi tuk be wafae per meri tehqeeq jari hay
640,Bewafa Shayari,Main apni hasti se aazaad ho giya hon
641,Bewafa Shayari,Kisi be wafa ko zaroorat ho tu.. mujhse khail sakta hay
642,Bewafa Shayari,Teri wafa ke taqaze badal gye warna
643,Bewafa Shayari,Mujhay tu aaj bhi tum se aziz koi nahi
644,Bewafa Shayari,Shauk se badlo magar itna yaad rakhna
645,Bewafa Shayari,Hum badle tu kerwatain badalte reh jao gay
646,Bewafa Shayari,Be wafai to sabhi karte hain
647,Bewafa Shayari,Tum to samjhdar thy kuch naya karte
648,Bewafa Shayari,Mohabbat humari bhi asar rakhti hay
649,Bewafa Shayari,Bohat yaad ayen gay zara bhool ker tu daikho
650,Bewafa Shayari,Humain tu kub se pata hay ke tu be wafa hay
651,Bewafa Shayari,Tujhay chaha is liyay ke shayed teri taqdeer badal jay
652,Love Poetry,Hum luta daingay sari chahat tum per
653,Love Poetry,Is shart per ke jama tafreeq nahi kero gay
654,Love Poetry,Hum akailay hi kerain gay raaj tum per
655,Love Poetry,Kisi aur ko is main shareek nahi kero gay!
656,Love Poetry,Mansoob teri zaat se ranaiyaan tamam
657,Love Poetry,Teray bina hayaat main koi dilkashi nahi
658,Love Poetry,Tujh ko chahoon andaaz badal badal ke
659,Love Poetry,Meri zindagi ka akloota ishq ho tum
660,Love Poetry,Tujhay rooz ji bhar ke daikhtay hongay
661,Love Poetry,Teray ghar ke aainon ki kiyaa baat hay!!!
662,Love Poetry,Teri aankhon ki kashish kaisay tujhay samajhaon
663,Love Poetry,In charaghon ne meri neend urda rakhi hay!!!
664,Love Poetry,"Dil tumhara hi hay, hamaisha hi tumhara hoga"
665,Love Poetry,"Koon kehta hay, mujhay ishq doobara hoga!"
666,Love Poetry,Uski aankhon main rakhi theen barkatain rub ne!
667,Love Poetry,Us haseen shakhs se wajib tha mohabbat kerna!
668,Love Poetry,Zindagi per kitaab likhon ga
669,Love Poetry,Is main saray hisaab likhon ga
670,Love Poetry,Piyar ko waqt guzari likh ker
671,Love Poetry,Chahaton ko azaab likhon ga
672,Love Poetry,Apni khuwahish ka tazkara kerke
673,Love Poetry,Is ka chehra gulaab likhon ga
674,Love Poetry,Howi barbaad mohabbat kaisay
675,Love Poetry,Kaisay bikhray hain khuwaab likhon ga
676,Love Poetry,Main is se judai ka sabab
677,Love Poetry,Apni qismat kharaab likhon ga!
678,Love Poetry,Dil ki hasrat zuban pe aanay lagi
679,Love Poetry,To nay daikha aur zindagi muskuranay lagi
680,Love Poetry,Ye ishq ki intiha thi ya dewangi meri
681,Love Poetry,Har soorat main teri soorat nazar anay lagi
682,Love Poetry,"Gazab aaya, sitm toota, qiyamat hogye berpa"
683,Love Poetry,Faqat itna hi poocha tha ke tum ko piyaar hay hum se?
684,Sad Boy,Tu ne daikha hay mahaz mujhay khush bahar se
685,Sad Boy,Meray andar ki cheekhain tera dil phaard sakti hain
686,Sad Boy,Udaas to bohat rahay per kabhi zaahir nahi kiya
687,Sad Boy,Theek hoon bas is lafz ne sub sanbhaal liya
688,Sad Boy,Lazzat gham-e-ishq ka tum kiya jano
689,Sad Boy,Main khush raha dil ko barbaad kerkay
690,Sad Boy,Hum itne bhi nahi badlay ke bhool jain apnon ko
691,Sad Boy,Magar jub koi muntazir hi na ho to raabte achay nahi lagtay
692,Sad Boy,Kisi ke haath bikne ko tayyar nahi
693,Sad Boy,Ye mera dil hay koi misar ka bazaar nahi
694,Sad Boy,Tum jang nahi thay ke jeet laitay tujhay
695,Sad Boy,Hum tujhay haaray hain be intiha mohabbat kerke
696,Sad Boy,Pehna ker loog libaas aitibaar-o-mohabbat ka
697,Sad Boy,Phir gharz-o-munafqat se daagdaar kertay hain
698,Sad Boy,Milne ka waada to unke mun se nikal gaya
699,Sad Boy,Poochi jaga to kaha khuwaboon main ajana
700,Sad Boy,Rooz jholi main naye dard ulat daita hay
701,Sad Boy,Waqt se daikha nahi jata mera daaman khali!
702,Sad Boy,Khuda likhne pe ayee to likh bhi sakta hay
703,Sad Boy,Meri hayaat main ta hayaat tujhko
704,Afsoos Shayari,Aj bohaut dukh ho raha hay haal-e-zindagi per
705,Afsoos Shayari,Kaash us se hud main reh ker mohabbat ki hoti
706,Afsoos Shayari,Un ki aankhoon main nazar aata hay sara jahan mujhko
707,Afsoos Shayari,Afsoos ke un ki aankhon main kabhi khud ko nahi daikha
708,Afsoos Shayari,Be wafai to sabhi karte hain
709,Afsoos Shayari,Tum to samjhdar thy kuch naya karte
710,Afsoos Shayari,Mohabbat main yehi khoof kyun musallat rahta hai
711,Afsoos Shayari,Kahin mere siwa koi aur to aziz nahin usey
712,Afsoos Shayari,Ab tujh pe apne qemti alfaz nahi ware gey
713,Afsoos Shayari,Ab tujhy acha hoon haan keh ke mare gey
714,Afsoos Shayari,Her koi pochta hai karte kiya ho tum
715,Afsoos Shayari,Jesy mohabbat koi kaam hi nahi hai
716,Afsoos Shayari,Naseeb walon ko hoti hai wafa naseeb
717,Afsoos Shayari,Hum khud hi bad naseeb to mohabbat ka kiya kasoor
718,Afsoos Shayari,Begana hum ne to nahi kiya kisi ko apne se
719,Afsoos Shayari,Jis ka dil bharta gya woh chorta gya
720,Afsoos Shayari,Woh sub ilzam mere naam ker ke
721,Afsoos Shayari,Bicharne ka bahana chahte hain
722,Afsoos Shayari,Kabhi khood ko meri jaga rakh
723,Afsoos Shayari,Tujhy taras na aye to chord jana
724,Dard Shayari,"Nadaan hon, na samajh hon, be kaar hi samjho"
725,Dard Shayari,"Dil roota hay hoont hanstay hain, funkaar hi samjho!!!"
726,Dard Shayari,uske janay se kuch bhi to nahi badla
727,Dard Shayari,bus pehlay jahan dil hota hay ab wahan dard hota hay!
728,Dard Shayari,Qatra qatra jo tapakta hay tera gumm mujh main
729,Dard Shayari,Main kisi rooz teray dard se mar jaoonga
730,Dard Shayari,Dard-e-dil kitna pasand aaya usay
731,Dard Shayari,Main ne jub ki aah usne wah ki!!!
732,Dard Shayari,Khatam apna dard ker jaon
733,Dard Shayari,Ji kerta hay aaj mer jaon
734,Dard Shayari,Hum ne sametay hain dard dunya ke aur
735,Dard Shayari,Ik tumsay hum na sanmbhalay gye
736,Dard Shayari,Meray hum-dard na bano
737,Dard Shayari,Dard se mer jao gay
738,Dard Shayari,Hum ne samaitay hain dard dunya ke
739,Dard Shayari,Tum se aik hum na sunbhalay gyee
740,Dard Shayari,Us ki dard bhari aankhoon ne jis jaga kaha tha alwida
741,Dard Shayari,Aaj bhi waheen khara hay dil uske aane ke intizar main
742,Dard Shayari,Maloom nahi tha itna dard mile gaa mohabbat mein
743,Dard Shayari,Kaash uss waqt mohabbat karne ki aadat na hoti
744,Dard Shayari,Submitted By: Yasir Bukhari
745,Mohabbat Poetry,Tujhay rooz ji bhar ke daikhtay hongay
746,Mohabbat Poetry,Teray ghar ke aainon ki kiyaa baat hay!!!
747,Mohabbat Poetry,Teri aankhon ki kashish kaisay tujhay samajhaon
748,Mohabbat Poetry,In charaghon ne meri neend urda rakhi hay!!!
749,Mohabbat Poetry,"Dil tumhara hi hay, hamaisha hi tumhara hoga"
750,Mohabbat Poetry,"Koon kehta hay, mujhay ishq doobara hoga!"
751,Mohabbat Poetry,Uski aankhon main rakhi theen barkatain rub ne!
752,Mohabbat Poetry,Us haseen shakhs se wajib tha mohabbat kerna!
753,Mohabbat Poetry,Zindagi per kitaab likhon ga
754,Mohabbat Poetry,Is main saray hisaab likhon ga
755,Mohabbat Poetry,Piyar ko waqt guzari likh ker
756,Mohabbat Poetry,Chahaton ko azaab likhon ga
757,Mohabbat Poetry,Apni khuwahish ka tazkara kerke
758,Mohabbat Poetry,Is ka chehra gulaab likhon ga
759,Mohabbat Poetry,Howi barbaad mohabbat kaisay
760,Mohabbat Poetry,Kaisay bikhray hain khuwaab likhon ga
761,Mohabbat Poetry,Main is se judai ka sabab
762,Mohabbat Poetry,Apni qismat kharaab likhon ga!
763,Mohabbat Poetry,Dil ki hasrat zuban pe aanay lagi
764,Mohabbat Poetry,To nay daikha aur zindagi muskuranay lagi
765,Mohabbat Poetry,Ye ishq ki intiha thi ya dewangi meri
766,Mohabbat Poetry,Har soorat main teri soorat nazar anay lagi
767,Mohabbat Poetry,Meray alfaaz na mukammal meray misray adhooray se
768,Mohabbat Poetry,Mera khulasa mohabbat hay meri tashreeh sirf tum ho!
769,Mohabbat Poetry,Aik perwa hi batati hay khiyaal kitna hay
770,Mohabbat Poetry,Warna taraazo nahi hota koi rishton main!
771,Mohabbat Poetry,Itna bhi kiya kisi ki mohabbat main gharaq hona
772,Mohabbat Poetry,Bus theek hay koi tha! magar ab nahi raha
773,Mohabbat Poetry,Iski khuwahish hay ke main perday main rahoon
774,Mohabbat Poetry,Woh aik shakhs jo meri haya pe marta hay
775,Aansu Shayari,Aa daikh meri aankh ke bheegay howe mausam
776,Aansu Shayari,Ye kis ne keh diya ke tujhay bhool gyee hum!
777,Aansu Shayari,Ye jo doobi hain meri aankhain ashkon ke darya main
778,Aansu Shayari,Ye matti ke insaano per bharosay ki saza hay
779,Aansu Shayari,Ye sooch ker palkon main chupa laita hon aansu
780,Aansu Shayari,Gir ker ye meri aankh se be ghar na ho jay
781,Aansu Shayari,Bus aik aansu bohat hay Mohsin ke jagne ko
782,Aansu Shayari,Ye ik sitara koi bujhaye tu neend aye
783,Aansu Shayari,Khushi meri talash main younhi pherti rahi
784,Aansu Shayari,Kabhi use mera ghar na mila kabhi use hum ghar main na mile
785,Aansu Shayari,Rezha rezha ker ke bikher deti hai
786,Aansu Shayari,Be perwah logon se be panah mohabbat
787,Aansu Shayari,Mat poch ke kis tarha chal rahi hai zindagi
788,Aansu Shayari,Us dore se guzer rahe hain jo guzarta hi nahin
789,Aansu Shayari,Be wafai to sabhi karte hain
790,Aansu Shayari,Tum to samjhdar thy kuch naya karte
791,Aansu Shayari,Mohabbat main yehi khoof kyun musallat rahta hai
792,Aansu Shayari,Kahin mere siwa koi aur to aziz nahin usey
793,Aansu Shayari,Ket hi gai judai bhi kab yeh howa ke mar gaye
794,Aansu Shayari,Tere bhi din guzer gaye mere bhi din guzer gaye
795,2 Line Urdu Poetry,Bana ker choord daitay hain apni zaat ka aadi
796,2 Line Urdu Poetry,kuch laug yoon bhi intiqaam laitay hain
797,2 Line Urdu Poetry,Mujh ko siyah rang se ulfat bala ki thi
798,2 Line Urdu Poetry,Phir yon howa ke bakht main siyahi bikhar gye
799,2 Line Urdu Poetry,Bohat be kaif lamhe hain ajeeb bojhal tabiyyat hay
800,2 Line Urdu Poetry,Na gham se dil behalta hay na khushiyaan raas aati hain
801,2 Line Urdu Poetry,Tu ne daikha hay mahaz mujhay khush bahar se
802,2 Line Urdu Poetry,Meray andar ki cheekhain tera dil phaard sakti hain
803,2 Line Urdu Poetry,Udaas to bohat rahay per kabhi zaahir nahi kiya
804,2 Line Urdu Poetry,Theek hoon bas is lafz ne sub sanbhaal liya
805,2 Line Urdu Poetry,Lazzat gham-e-ishq ka tum kiya jano
806,2 Line Urdu Poetry,Main khush raha dil ko barbaad kerkay
807,2 Line Urdu Poetry,Hum itne bhi nahi badlay ke bhool jain apnon ko
808,2 Line Urdu Poetry,Magar jub koi muntazir hi na ho to raabte achay nahi lagtay
809,2 Line Urdu Poetry,Is qadar boojh hay neendon ka meri aankhon per
810,2 Line Urdu Poetry,Main ne thak haar ker sona nahi mer jana hay!
811,2 Line Urdu Poetry,Mujhay choord ker woh jis shakhs ke paas gaya hay
812,2 Line Urdu Poetry,Meri barabari ka hota to bhi dil ko sabar aa jata!
813,2 Line Urdu Poetry,Woh itna qareeb ho giya tha
814,2 Line Urdu Poetry,Mujhay laga mera ho giya tha!
815,Judai Shayari,Zid pe ajaoon to mur ker bhi na daikhon!
816,Judai Shayari,Tum ne daikha hi nahi mera pathar hona
